,project_code,standardized_text,Target_Vector,transformed_column,Predicted_Vector
0,2011.0.00010.S,the physics and chemisty of gas in centaurus a and its host v centaurus a with its host ngc is the most nearby radio galaxy its molecular spectrum exhibits three prominent features a gas that is located in the outer disk and dust lanes b absorption lines that are supposedly close to the central agn and c gas in emission from the nucleus we propose to observe the absorption system in a variety of molecular lines the molecular lines are chosen to be tracers of column and volume density temperature photon and x ray dominated regions x ray dominated regions are a crucial marker for gas close to the supermassive black hole shocks and excitation conditions this will allow us to derive the physical state of the gas at each spectral component as well as the chemistry involved our goal is to derive the origin and physics of each absorption component reaching from the central black hole through the region that supplies the supermassive black hole with material regions of possible infall or outflow the stellar disk and the outer dust lanes this proposal will complement a comprehensive survey of the cm and mm lines of an approved atca program which contains tracers of temperature and also lower transitions of the molecules to be observed with together the and atca data will form a truely unique spectral survey for a radio galaxy and will much likely become the template for all searches of molecular tracers in similar objects at all cosmic epochs,"[0.0, 0.8, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0061552561819553375, 0.15507414937019348, 0.03785359859466553, 0.016199706122279167, 0.5318965911865234, 0.20337910950183868, 0.027190309017896652, 0.014192604459822178, 0.00805865041911602]"
1,2011.0.00064.S,clustered massive galaxy formation around a z submillimeter galaxy cosmological simulations suggest that massive galaxies at present day form in the densest regions in the early universe predicting the existence of massive protoclusters of intensely star forming galaxies as their progenitors at high redshift we have recently identified such a unique region within billion years of the big bang hosting an extreme starburst galaxy the most distant submillimeter galaxy smg identified to date forming stars at msun yr and at least twelve normal star forming galaxies lbgs the bulk are spectroscopically confirmed and have orders of magnitude lower sfrs than smgs within a narrow redshift interval of only dz this most distant protocluster region known is a smoking gun for early massive galaxy formation through hierarchical buildup giving key importance to understanding the physical properties of its member galaxies and the three dimensional structure of the region in great detail this proposal aims to add an essential missing piece to our comprehensive dataset on this proto cluster by mapping out its core region in cii and rest frame far infrared continuum emission using the early science array this will critically constrain the neutral interstellar medium ism content excitation distribution and kinematics of the central six lbgs which including the smg are situated within a single primary beam fwhm constituting the fuel for their star formation and dust obscured star formation rates this will also yield unprecedented constraints on the star formation law at z and will enable the first direct ism studies of lbgs at z the cii measurements will give an order of magnitude more precise redshifts substantially constraining the d structure of the protocluster,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0064831748604774475, 0.46027103066444397, 0.048311181366443634, 0.016680344939231873, 0.31635794043540955, 0.09974587708711624, 0.031069990247488022, 0.01271077524870634, 0.008369725197553635]"
2,2011.0.00121.S,search for submillimeter h o maser towards active galactic nuclei we propose to search for submillimeter h o masers towards active galactic nuclei agn galaxies in our sample are listed from known ghz disk masers showing the presence of a sub parsec scale disk or characteristic spectra these sample galaxies show the strongest flux density of the ghz h o maser among about h o extragalactic masers known to date our primary aim of this program is to study distribution of temperature and density in sub parsec scale regions of agn by detecting different transitions of submillimeter submm h o masers at ghz ghz ghz and ghz first of all we need to detect the ghz transition in this cycle program since the pumping mechanism of these transitions is similar we might be able to discover the new submm h o maser in the largely same region and in the same galaxies as the ghz maser exists or new masers could be potentially detected in unexplored region of agn by monitoring the line of sight velocity of the maser we aim to detect systemic accelerations assuming the submm maser lying on a rotating disk also we aim the first detection of the accelerations of the maser on the back side of the disk we have more chance to detect it since submm continuum emission obscuring the maser on the back side could become optically thin this will confirm the generally accepted rotation disk model and to provide the line intensity ratio between the transitions which will be critical for developing the numerical simulation based on radiative transfer model,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.006856460124254227, 0.2751595079898834, 0.04732926934957504, 0.018514754250645638, 0.41589248180389404, 0.18250738084316254, 0.03078525699675083, 0.013998877257108688, 0.008956089615821838]"
3,2011.0.00136.S,sulfur and water mapping in the mesosphere of venus we propose to map sulfur and water in the mesosphere of venus using the so transitions at ghz and ghz the so transition at ghz and the hdo transition at ghz in order to study the latitudinal and day night variations of these species in addition we will observe the co line at ghz which will constrain both the thermal profile and the co vertical distribution and will be used for wind mapping,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.009140290319919586, 0.1922566443681717, 0.05411096289753914, 0.0234097670763731, 0.3998916447162628, 0.24894776940345764, 0.03633254021406174, 0.022840019315481186, 0.013070336543023586]"
4,2011.0.00199.S,bursting water maser feature in orion kl in february an outburst of the ghz h o maser feature in orion kl has started after year silence this is the third time to detect such phenomena in orion kl followed by and in order to explore the origin of such enigmatic burst phenomenon we have been carrying out astrometric observations of the bursting h o maser feature in orion kl with vera vlbi exploration of radio astrometry we found the bursting maser is located at the compact ridge suggesting that the maser burst is likely to be caused by the interaction with the outflow from the radio source i and ambient dense gas however the physical properties in around the bursting maser feature are not well understood because of the lack of observational studies except for the h o maser itself furthermore it is still unclear why only the km s component s show such outburst episodically or with possible year periodicity it may imply a special condition to stimulate such maser burst one of the possibilities is an existence of unknown young stellar object in compact ridge interacting with the outflow from source i in order to investigate the physical properties of the bursting maser feature and its origin we propose monthly monitoring observations of the submillimeter h o maser lines in parallel to our vlbi observations of the ghz maser lines based on our multi transition observations of the h o lines we will constrain the physical properties of the bursting maser feature in addition we search for the submillimeter dust continuum source around the bursting maser feature the current maser burst is the best opportunity to explore this burst event that may never come again for another years and hence our project is most suitable for the cycle ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.00504685565829277, 0.14473308622837067, 0.026143675670027733, 0.012004964053630829, 0.6102792620658875, 0.16607561707496643, 0.019004911184310913, 0.010989485308527946, 0.005722093861550093]"
5,2011.0.00217.S,globular cluster formation caught in the act clusters are the building blocks of galaxies and the nurseries of most stellar systems despite their importance even the fundamental question of whether a single mechanism can describe cluster formation across the mass range from open clusters to globular clusters remains unclear answering this question requires observations of a cluster s natal dust and gas well before the onset of star formation we have identified an extreme molecular cloud that appears to be on the verge of forming a massive cluster this cloud g is very cold massive and dense with no obvious star formation and shows tantalizing evidence that it is highly substructured and thus may be undergoing hierarchical fragmentation using the early science extended configuration we aim to obtain a x arcmin mosaic of the dust continuum and molecular line emission across this cloud at ghz these observations will reveal the location mass and kinematics of the small scale fragments within the cloud allowing us to distinguish between competing cluster formation models these observations can only be achieved with the order of magnitude improvement in sensitivity and dynamic range provided by determining whether clusters form via a single mechanism across the entire mass range has profound implications if confirmed this implies our knowledge of nearby cluster formation can be used as framework to understand star formation across cosmic time back to globular clusters gyr ago we speculate that the cloud g may represent the precursor to a modern day globular cluster,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005755330435931683, 0.2536952495574951, 0.02649003639817238, 0.011690574698150158, 0.5167297124862671, 0.1507866233587265, 0.018755896016955376, 0.010395313613116741, 0.005701209418475628]"
6,2011.0.00236.S,the dynamics of massive starless cores progress towards resolving a decade long debate about how massive stars form can be made by determining if massive starless cores exist in a state of near virial equilibrium these are the initial conditions invoked by the core accretion model of mckee tan alternatively the competitive accretion model of bonnell et al requires sub virial conditions we have identified prime examples of massive msun cores from mid infrared mir extinction mapping butler tan of infrared dark clouds we have found spectacularly high deuterated fractions of n h of in these objects fontani et al thus n d becomes an excellent tracer of the kinematics of these cold dark cores where most other molecular tracers are thought to be depleted from the gas phase cycle compact configuration band observations probe this line on scales from down to well matched to the structures we see in mir extinction sharing a hour track between single pointing observations to each of the cores we have the sensitivity and uv plane coverage needed to measure the kinematics of these structures and thus determine whether or not they are near virial equilibrium,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.00609928835183382, 0.27016907930374146, 0.034606557339429855, 0.0143808014690876, 0.47551819682121277, 0.15610022842884064, 0.02453751675784588, 0.01215001568198204, 0.0064383335411548615]"
7,2011.0.00259.S,testing the models for the inital steps toward planet formation the evolution of solids in brown dwarfs disks the core accretion scenario for the formation of planetary systems in disks predicts that the initial phases of this process are characterized by the grain growth process in this view the solid components of disks dust grains grow to larger sizes to produce planetesimals and rocky cores of planets before accreting gas from the disk the models for grain evolution in disks have now reached a sufficient level of sophistication that can make testable predictions these models can explain the observations of large grains in the massive disks around solar type young stars but do predict clearly that the grain growth process is strongly dependent on the disk mass density the expected masses densities of disks in the substellar regime are so low that models predict no grain growth early science offers the unique possibility to perform this test and verify whether grain growth can occurr in bds disks we propose to observe the four disks around brown dwarfs that are already known to have disks detected at millimeter wavelengths and to probe the presence of large grains by measuring the spectral energy distribution at millimetre wavelengths,"[0.0, 0.5555555555555556, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006104008760303259, 0.04640066251158714, 0.021010885015130043, 0.011969518847763538, 0.5915737748146057, 0.2837553322315216, 0.01817101240158081, 0.014490239322185516, 0.0065246387384831905]"
8,2011.0.00268.S,metallicity of a submillimeter galaxy at z metallicity of galaxies and its redshift evolution are crucially important to give constraints on galaxy evolutionary models although such studies at z is extremely interesting to understand the early evolutionary stage of massive galaxies optical or near infrared observations cannot assess the metallicity of star forming galaxies at z here we propose a brand new method to infer the metallicity of galaxies using a flux ratio of fine structure lines nii cii whose robustness is fully examined by our photoionization model calculations taking both hii regions and pdrs into account this new metallicity diagnostic is applicable for galaxies at z where the cii and nii lines shift into the submillimeter atmospheric windows note that the nii cii flux ratio is insensitive to the dust reddening unlike optical diagnostics and thus it is applicable for dusty galaxies that are in the actively evolving phase of the galaxy evolution in the cycle we propose to apply our new metallicity measurement method to a submillimeter galaxy at z our previous identification of strong cii emission in this object makes feasible to detect the nii emission in this galaxy using even in the cycle based on the inferred metallicity we examine the timescale of the early chemical enrichment in massive galaxies and the origin of the cii excess in high redshift cii emitters,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.008731155656278133, 0.15067076683044434, 0.047495607286691666, 0.021294793114066124, 0.46150630712509155, 0.2440958172082901, 0.035601478070020676, 0.019279513508081436, 0.011324559338390827]"
9,2011.0.00273.S,sn a a unique laboratory for shock and dust physics sn a is a unique laboratory to study shock physics and particle acceleration cosmic dust and element production despite intense observation over the last years outstanding questions remain which only can address and signficant discoveries can already be made in cycle we propose to image the remnant of sn a in the four available bands spanning a critical transition wavelength range at ghz sn a s flux is dominated by nonthermal emission from a shocked circumstellar ring but by ghz the flux is predominantly thermal emission from dust in the central debris the proposed observations will constrain models for relativistic particle acceleration in shocks they will yield the first resolved images of the supernova debris at sum mm wavelengths they have the potential to discover molecular line emission from both the inner debris and from the circumstellar ring and to find evidence for emission by a central compact object the observations will be path finders establishing a synoptic baseline for a major campaign with the full array,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005732996389269829, 0.151442289352417, 0.028681673109531403, 0.01339611504226923, 0.5557901263237, 0.2041528970003128, 0.021754411980509758, 0.012621968984603882, 0.00642753392457962]"
