project_code,standardized_text,Target_Vector
2011.0.00017.S,expanding the frontiers of chemical complexity with the search for complex pre biotic and biotic molecules in the interstellar medium ism will be a primary focus of science the molecular inventory of meteorites found on earth includes more than distinct amino acids the building blocks of proteins and their composition suggests an interstellar origin the key search site for new complex organics in the ism is the hot dense core sgr b n due partly to its high column density however the firm identification of new molecules requires a robust spectral model to unweave the emission lines of weakly emitting more complex species from known molecules we have already constructed a unique model of this kind using our previous single dish line survey which has already allowed our team to uncover several new species we propose to use early science to perform a deep unbiased line survey of sgr b n in band hours observing time the proposed survey will improve the detection threshold for complex organic molecules by nearly a factor of compared to our previous survey of this source such a sensitivity improvement should lead to the firm detection of a few perhaps a dozen new complex organics while the adaptation of our existing spectral model will allow a rapid turn around from detection to publication the use of our team s cutting edge chemical models will allow the broader implications of new discoveries to be understood and place strong constraints on chemical formation pathways the discovery of biologically relevant molecules in the ism will be of high scientific impact and is of broad appeal to the public and the media the combination of s unique spectral sensitivity with our established methodologies will provide an efficient showcase of s capabilities in this field,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00028.S,the effect of extreme environment on protoplanetary disks in orion protoplanetary disks or proplyds are the sites where new solar systems are born while disk studies to date have focused on regions like taurus and ophiuchus for their proximity stars rarely form in such isolated environments in fact there is clear evidence that our own sun formed near a clustered ob association like orion to understand how planets form it is imperative that we study disk properties in regions representative of their origins for this reason we propose to survey protoplanetary disks proplyds in orion in order to study fundamental disk properties in a massive star forming region is uniquely capable of imaging dust and gas emission from the orion proplyds with its combination of high frequency sensitivity resolution and spatial filtering properties we will measure the masses and survival timescales of numerous disks we will spatially resolve the dust emission to determine surface density profiles of the largest disks in the region and we will attempt to detect molecular gas in orion disks for the first time the results of such observations will provide the first detailed view into how the clustered environment and uv radiation affect disk properties and evolution and ultimately allow us to assess the potential to form solar system analogs in massive star forming regions,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00039.S,the view of the cool dust in an extreme low metallicity starburst v we propose band extended configuration continuum observations of the most metal poor starburst in the local universe sbs e the starburst in sbs e occurs in extreme conditions dominated by super star clusters sscs which have formed in a relatively pristine interstellar medium ism logo h s superb sensitivity and spatial resolution can for the first time probe the cool dust in this tiny galaxy and help understand how metal enrichment and dust production proceed in early stages of galaxy formation our analysis of the spectral energy distribution sed of this sbs e suggests that the dust mass and dust to gas ratio dgr is highly uncertain compared with the hi mass the dust to gas ratios dgrs range from e to e much lower than predicted by a linear extrapolation of the dgr variation with metallicity however the sed fits are unconstrained because there have been no detections of cool dust so far we are likely missing a large fraction of dust mass traced by the cool dust which can now measure sbs hosts six super star clusters spread over roughly arcsec in diameter most of the star formation activity occurs in the two brightest clusters which host almost o stars in a compact region unresolved by the hst with we can assess the effects of feedback of the massive stars on the dust morphology and the clumping scale of the cool dust in an extreme unenriched ism ultimately our proposed observations can open a new window on the transition from metal free star formation in the early universe to the chemically evolved massive galaxies typical of the current epoch,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00046.S,the first insight into the resolved molecular gas properties of a host galaxy of gamma ray burst v long duration gamma ray bursts grbs have been found at least in some cases to be associated with violent and luminous supernovae such massive stars have very short lifetimes and therefore grbs pinpoint the location of galaxies that have recently undergone an episode of star formation here we propose to critically assess this issue using the determination of the star formation efficiency for the closest grb host galaxy this is crucial because grbs are potentially excellent tracers of the global star formation history which is of fundamental importance to our understanding of galaxy formation however this kind of study requires prior detailed investigation of grb host galaxies which has not been fully addressed yet grb associated with sn bw is the closest known grb redshift z therefore it is an excellent laboratory for detailed grb studies the interplay between dust thermal emission radio emission and star formation is not yet well understood even in the closest known grb host moreover the properties of molecular gas are very poorly understood for grb hosts since none of them was detected spectroscopically in the far ir which is necessary to measure the gas mass will provide an important step forward with both of these issues here we propose a detailed study of the closest known grb host from the co observation of the host of grb we will derive its molecular gas mass these will lead to an understanding of whether the grb host can be regarded as a normal star forming galaxy or its star formation rate is enhanced this will have consequences for interpretation of grbs as tracers of star formation in the universe,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00059.S,gg tau the ringworld revisited by studying planet formation in the context of multiple stellar systems is fundamental because a large fraction of the stars form in multiple systems however there are only a few pms pre main sequence binaries which allow detailed analysis of the dynamical and physical properties of their circumstellar and circumbinary material thanks to its distance pc and brightness mjy at mm the spectacular ring world circumbinary ring around gg tau a a separation binary system of two ttauri stars of solar masses provides a unique opportunity for a multi wavelength spatially resolved study of the physics of mass accretion onto a central binary e g through cool gas dust detected at mm wavelengths dust distributions from optical ir scattered light and near ir tracers of warm gas we propose to use the unique sensitivity and resolving power of to obtain continuum and line images of the gg tau a young binary star and circumbinary disk system in order to test for the very first time theories of accretion onto the host stars using band and the extended configuration we would like to observe the system in continuum and in co j simultaneously our imaging simulations show that the outer ring and the streaming material will be observable in a single primary beam only even in cycle can achieve such a project the spectacular images at resolution at times better than now available and unprecedented sensitivity will enable significant advances in astronomical study of the evolution of young binaries and the dynamic sculpting of their disks,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2011.0.00061.S,imaging study of molecules in the nearby galaxies ngc and ngc effects of active galactic nucleus and starburst on the shock dust related molecules so hnco ch oh and ch cn we propose to observe shock dust related molecules so hnco ch oh and ch cn toward nearby galaxies ngc and ngc at mm and mm wavelengths so far more than molecular species have been found in external galaxies the study of their molecular abundances and the understanding of physical and chemical processes are a fundamental for astrophysics and astrochemistry of galaxies one of the interesting topics is the effect of x ray produced by agn active galactic nucleus to molecular abundances we carried out molecular line survey observations toward the nearby galaxy ngc with agn and the prototypical starburst galaxies ngc and ic with the nobeyama m radio telescope based on these results we propose an imaging study with efficient frequency settings covering astrochemically important shock dust related molecules so hnco ch oh and ch cn the effect of x ray is not yet well understood we study whether these molecules are efficiently produced in gas close to agn or in gas with starburst for this purpose we obtain images and abundances of these molecules we need at least two transitions for each molecule to obtain the abundances without assuming the excitation temperatures therefore we observe images at both mm and mm wavelengths,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2011.0.00083.S,the footprints of sf and agn activity in ngc a case study for we propose to map the emission of a set of dense molecular tracers the and lines of co and the lines of hcn and hco in the central kpc of ngc using the unique spatial resolution and sensitivity capabilities of the extended configuration of in bands and ngc is a prototypical seyfert galaxy with an inner circumnuclear molecular disk cnd and a starburst sb ring at larger radii these maps will spatially resolve the gas flows in the cnd and the sb ring with unprecedented sensitivity this will be a key ingredient for the dynamical models developed by our team that study agn feeding mechanisms furthermore combined with the available interferometer images obtained in the low j transitions of these molecular species by our group the maps will be used to study the spatial variations of the seds of co hcn and hco a set of diagnostic line ratio maps will be interpreted in the light of new chemical models developed inside the team which address the feedback of star formation and agn activity on molecular gas besides yielding a high scientific output these observations will test key performances during cycle these include the ability to build moderately large mosaics of fields and testing the reliability of observations done in band with the extended configuration of the array,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]"
2011.0.00084.S,the v sgr disk a benchmark for planetesimal evolution rev we propose a hour compact configuration observation of the co line and ghz continuum emission from the unique nearby pc and old myr disk around v sgr the proximity and age of this massive gas rich disk offer a rare opportunity to observe the subtle effects produced by the growth and migration of its solid contents with high sensitivity and spatial resolution the proposed observations will be used in tandem with our sma data co and ghz continuum to make two key measurements use the resolved co line ratio to determine the gas temperature profile and effective size of the gas disk relative to the dust a key indirect diagnostic of the radial variation in the gas to dust ratio that should be induced by the inward radial drift of solids and compare the continuum emission morphologies at and ghz to search for evidence of the particle size segregation expected in solid migration models although studying these effects is a relatively new topic enabled only now with the start of science operations the size and spatial evolution of disk solids is perhaps the most fundamental aspect of the early stages of planet formation the v sgr disk is an ideal proving ground for planning future observations of these effects as well as for highlighting how data permit rapid significant progress toward more sophisticated analyses of circumstellar disk evolution and the formation of planetary systems,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2011.0.00087.S,structure of the beta pictoris disk in mm dust we propose to image the brightest debris disk beta pictoris with in band the primary aim is to study the distribution of mm size dust on scales from au down to au this will enable us to delineate the location of the colliding planetesimals which are the ultimate cause of the debris cascade in such disks this will be compared with the distribution of small grains seen in scattered light the hot dust seen in the mid ir and the location of the planet beta pictoris b in order to test existing models and improve our understanding of the archetype debris disk the images will probe the mm grain population of structures including the au ring outer disk inner clumps and warp or inclined disk simultaneously we will be performing a deep search for emission from the circumstellar co in the disk probing the origin of the gas and the nature of the parent planetesimals,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00108.S,x ray irradiated dense molecular medium in the active nucleus of ngc we propose to study the physical and chemical properties of dense molecular gas in the central kpc region of the nearby active galaxy ngc at pc resolution ngc hosts a type seyfert nucleus with a circumnuclear starburst ring with a radius of furthermore the nuclear molecular gas condensation exhibits unusually elevated hcn hco brightness ratios in both j and transitions and co co ratios which are never seen in starburst galaxies therefore ngc is one of the best showcases demonstrating the physical and chemical diversity of the dense molecular medium as a function of heating sources i e agn and starburst in pc resolution even in cycle we have selected a set of key dense molecular tracers to describe physical and chemical aspects of agn and starbursts i e hcn hco cs and sio which can be efficiently observed in band and thanks to the superb spectroscopic capability of with these measurements we will address the following issues abundance ratio variations of hcn hco and cs is the elevated hcn hco ratio caused by x ray irradiated dense molecular medium detecting the sio emission in the active nucleus is the central dense gas condensation a xdr like ngc search for vibrationally excited hcn emission what is the role of radiative pumping in the pc region around agn kinematics of dense clouds can we see the inflow of dense clouds to the nucleus or outward motion driven by a putative jet outflow from the nucleus by answering these key questions we will renovate our current view on the physical and chemical properties of active galaxies,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
