,project_code,standardized_text,Target_Vector,Predicted_Vector
0,2011.0.00010.S,the physics and chemisty of gas in centaurus a and its host v centaurus a with its host ngc is the most nearby radio galaxy its molecular spectrum exhibits three prominent features a gas that is located in the outer disk and dust lanes b absorption lines that are supposedly close to the central agn and c gas in emission from the nucleus we propose to observe the absorption system in a variety of molecular lines the molecular lines are chosen to be tracers of column and volume density temperature photon and x ray dominated regions x ray dominated regions are a crucial marker for gas close to the supermassive black hole shocks and excitation conditions this will allow us to derive the physical state of the gas at each spectral component as well as the chemistry involved our goal is to derive the origin and physics of each absorption component reaching from the central black hole through the region that supplies the supermassive black hole with material regions of possible infall or outflow the stellar disk and the outer dust lanes this proposal will complement a comprehensive survey of the cm and mm lines of an approved atca program which contains tracers of temperature and also lower transitions of the molecules to be observed with together the and atca data will form a truely unique spectral survey for a radio galaxy and will much likely become the template for all searches of molecular tracers in similar objects at all cosmic epochs,"[0.0, 0.8, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]","[0.006040704902261496, 0.12880398333072662, 0.03336428105831146, 0.014912916347384453, 0.545461118221283, 0.22512882947921753, 0.026710281148552895, 0.013008488342165947, 0.006569347344338894]"
1,2011.0.00064.S,clustered massive galaxy formation around a z submillimeter galaxy cosmological simulations suggest that massive galaxies at present day form in the densest regions in the early universe predicting the existence of massive protoclusters of intensely star forming galaxies as their progenitors at high redshift we have recently identified such a unique region within billion years of the big bang hosting an extreme starburst galaxy the most distant submillimeter galaxy smg identified to date forming stars at msun yr and at least twelve normal star forming galaxies lbgs the bulk are spectroscopically confirmed and have orders of magnitude lower sfrs than smgs within a narrow redshift interval of only dz this most distant protocluster region known is a smoking gun for early massive galaxy formation through hierarchical buildup giving key importance to understanding the physical properties of its member galaxies and the three dimensional structure of the region in great detail this proposal aims to add an essential missing piece to our comprehensive dataset on this proto cluster by mapping out its core region in cii and rest frame far infrared continuum emission using the early science array this will critically constrain the neutral interstellar medium ism content excitation distribution and kinematics of the central six lbgs which including the smg are situated within a single primary beam fwhm constituting the fuel for their star formation and dust obscured star formation rates this will also yield unprecedented constraints on the star formation law at z and will enable the first direct ism studies of lbgs at z the cii measurements will give an order of magnitude more precise redshifts substantially constraining the d structure of the protocluster,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.005970998201519251, 0.36765751242637634, 0.040742237120866776, 0.01873665861785412, 0.3859645128250122, 0.12817084789276123, 0.031918011605739594, 0.012111146934330463, 0.008728042244911194]"
2,2011.0.00121.S,search for submillimeter h o maser towards active galactic nuclei we propose to search for submillimeter h o masers towards active galactic nuclei agn galaxies in our sample are listed from known ghz disk masers showing the presence of a sub parsec scale disk or characteristic spectra these sample galaxies show the strongest flux density of the ghz h o maser among about h o extragalactic masers known to date our primary aim of this program is to study distribution of temperature and density in sub parsec scale regions of agn by detecting different transitions of submillimeter submm h o masers at ghz ghz ghz and ghz first of all we need to detect the ghz transition in this cycle program since the pumping mechanism of these transitions is similar we might be able to discover the new submm h o maser in the largely same region and in the same galaxies as the ghz maser exists or new masers could be potentially detected in unexplored region of agn by monitoring the line of sight velocity of the maser we aim to detect systemic accelerations assuming the submm maser lying on a rotating disk also we aim the first detection of the accelerations of the maser on the back side of the disk we have more chance to detect it since submm continuum emission obscuring the maser on the back side could become optically thin this will confirm the generally accepted rotation disk model and to provide the line intensity ratio between the transitions which will be critical for developing the numerical simulation based on radiative transfer model,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006374448537826538, 0.27675625681877136, 0.042393751442432404, 0.018639186397194862, 0.4358576238155365, 0.16418755054473877, 0.0345766544342041, 0.013921582140028477, 0.007293044589459896]"
3,2011.0.00136.S,sulfur and water mapping in the mesosphere of venus we propose to map sulfur and water in the mesosphere of venus using the so transitions at ghz and ghz the so transition at ghz and the hdo transition at ghz in order to study the latitudinal and day night variations of these species in addition we will observe the co line at ghz which will constrain both the thermal profile and the co vertical distribution and will be used for wind mapping,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.007062956690788269, 0.12701542675495148, 0.0381404310464859, 0.01593121699988842, 0.45840996503829956, 0.3000272810459137, 0.03372770920395851, 0.012044917792081833, 0.007640048395842314]"
4,2011.0.00199.S,bursting water maser feature in orion kl in february an outburst of the ghz h o maser feature in orion kl has started after year silence this is the third time to detect such phenomena in orion kl followed by and in order to explore the origin of such enigmatic burst phenomenon we have been carrying out astrometric observations of the bursting h o maser feature in orion kl with vera vlbi exploration of radio astrometry we found the bursting maser is located at the compact ridge suggesting that the maser burst is likely to be caused by the interaction with the outflow from the radio source i and ambient dense gas however the physical properties in around the bursting maser feature are not well understood because of the lack of observational studies except for the h o maser itself furthermore it is still unclear why only the km s component s show such outburst episodically or with possible year periodicity it may imply a special condition to stimulate such maser burst one of the possibilities is an existence of unknown young stellar object in compact ridge interacting with the outflow from source i in order to investigate the physical properties of the bursting maser feature and its origin we propose monthly monitoring observations of the submillimeter h o maser lines in parallel to our vlbi observations of the ghz maser lines based on our multi transition observations of the h o lines we will constrain the physical properties of the bursting maser feature in addition we search for the submillimeter dust continuum source around the bursting maser feature the current maser burst is the best opportunity to explore this burst event that may never come again for another years and hence our project is most suitable for the cycle ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]","[0.006401408463716507, 0.2872125506401062, 0.04117060452699661, 0.019029950723052025, 0.4435923397541046, 0.14978496730327606, 0.02889891341328621, 0.01681707054376602, 0.007092237006872892]"
5,2011.0.00217.S,globular cluster formation caught in the act clusters are the building blocks of galaxies and the nurseries of most stellar systems despite their importance even the fundamental question of whether a single mechanism can describe cluster formation across the mass range from open clusters to globular clusters remains unclear answering this question requires observations of a cluster s natal dust and gas well before the onset of star formation we have identified an extreme molecular cloud that appears to be on the verge of forming a massive cluster this cloud g is very cold massive and dense with no obvious star formation and shows tantalizing evidence that it is highly substructured and thus may be undergoing hierarchical fragmentation using the early science extended configuration we aim to obtain a x arcmin mosaic of the dust continuum and molecular line emission across this cloud at ghz these observations will reveal the location mass and kinematics of the small scale fragments within the cloud allowing us to distinguish between competing cluster formation models these observations can only be achieved with the order of magnitude improvement in sensitivity and dynamic range provided by determining whether clusters form via a single mechanism across the entire mass range has profound implications if confirmed this implies our knowledge of nearby cluster formation can be used as framework to understand star formation across cosmic time back to globular clusters gyr ago we speculate that the cloud g may represent the precursor to a modern day globular cluster,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.00578651437535882, 0.3895518481731415, 0.03892761096358299, 0.017959648743271828, 0.3861832916736603, 0.11122310906648636, 0.02961878478527069, 0.012992248870432377, 0.007756943814456463]"
6,2011.0.00236.S,the dynamics of massive starless cores progress towards resolving a decade long debate about how massive stars form can be made by determining if massive starless cores exist in a state of near virial equilibrium these are the initial conditions invoked by the core accretion model of mckee tan alternatively the competitive accretion model of bonnell et al requires sub virial conditions we have identified prime examples of massive msun cores from mid infrared mir extinction mapping butler tan of infrared dark clouds we have found spectacularly high deuterated fractions of n h of in these objects fontani et al thus n d becomes an excellent tracer of the kinematics of these cold dark cores where most other molecular tracers are thought to be depleted from the gas phase cycle compact configuration band observations probe this line on scales from down to well matched to the structures we see in mir extinction sharing a hour track between single pointing observations to each of the cores we have the sensitivity and uv plane coverage needed to measure the kinematics of these structures and thus determine whether or not they are near virial equilibrium,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.005827728658914566, 0.216237872838974, 0.034409768879413605, 0.015556156635284424, 0.5198469758033752, 0.1618947833776474, 0.026602502912282944, 0.012873686850070953, 0.006750571075826883]"
7,2011.0.00259.S,testing the models for the inital steps toward planet formation the evolution of solids in brown dwarfs disks the core accretion scenario for the formation of planetary systems in disks predicts that the initial phases of this process are characterized by the grain growth process in this view the solid components of disks dust grains grow to larger sizes to produce planetesimals and rocky cores of planets before accreting gas from the disk the models for grain evolution in disks have now reached a sufficient level of sophistication that can make testable predictions these models can explain the observations of large grains in the massive disks around solar type young stars but do predict clearly that the grain growth process is strongly dependent on the disk mass density the expected masses densities of disks in the substellar regime are so low that models predict no grain growth early science offers the unique possibility to perform this test and verify whether grain growth can occurr in bds disks we propose to observe the four disks around brown dwarfs that are already known to have disks detected at millimeter wavelengths and to probe the presence of large grains by measuring the spectral energy distribution at millimetre wavelengths,"[0.0, 0.5555555555555556, 0.0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.0]","[0.007210475858300924, 0.07044345885515213, 0.03395538404583931, 0.014995446428656578, 0.5405067801475525, 0.2859509587287903, 0.02464376389980316, 0.016204403713345528, 0.0060892729088664055]"
8,2011.0.00268.S,metallicity of a submillimeter galaxy at z metallicity of galaxies and its redshift evolution are crucially important to give constraints on galaxy evolutionary models although such studies at z is extremely interesting to understand the early evolutionary stage of massive galaxies optical or near infrared observations cannot assess the metallicity of star forming galaxies at z here we propose a brand new method to infer the metallicity of galaxies using a flux ratio of fine structure lines nii cii whose robustness is fully examined by our photoionization model calculations taking both hii regions and pdrs into account this new metallicity diagnostic is applicable for galaxies at z where the cii and nii lines shift into the submillimeter atmospheric windows note that the nii cii flux ratio is insensitive to the dust reddening unlike optical diagnostics and thus it is applicable for dusty galaxies that are in the actively evolving phase of the galaxy evolution in the cycle we propose to apply our new metallicity measurement method to a submillimeter galaxy at z our previous identification of strong cii emission in this object makes feasible to detect the nii emission in this galaxy using even in the cycle based on the inferred metallicity we examine the timescale of the early chemical enrichment in massive galaxies and the origin of the cii excess in high redshift cii emitters,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.006217858288437128, 0.20847290754318237, 0.04057970270514488, 0.01682347245514393, 0.47215941548347473, 0.20245766639709473, 0.034277524799108505, 0.01147084217518568, 0.007540665101259947]"
9,2011.0.00273.S,sn a a unique laboratory for shock and dust physics sn a is a unique laboratory to study shock physics and particle acceleration cosmic dust and element production despite intense observation over the last years outstanding questions remain which only can address and signficant discoveries can already be made in cycle we propose to image the remnant of sn a in the four available bands spanning a critical transition wavelength range at ghz sn a s flux is dominated by nonthermal emission from a shocked circumstellar ring but by ghz the flux is predominantly thermal emission from dust in the central debris the proposed observations will constrain models for relativistic particle acceleration in shocks they will yield the first resolved images of the supernova debris at sum mm wavelengths they have the potential to discover molecular line emission from both the inner debris and from the circumstellar ring and to find evidence for emission by a central compact object the observations will be path finders establishing a synoptic baseline for a major campaign with the full array,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0.006468808278441429, 0.19402126967906952, 0.040175169706344604, 0.017410021275281906, 0.49181511998176575, 0.19853316247463226, 0.02923586405813694, 0.015475626103579998, 0.006864943541586399]"
10,2011.0.00396.S,using the first inteferometer h d observations to constrain clustered star forming core structure given that most stars in our galaxy form in clusters understanding the process of clustered star formation has become a key goal of star formation astronomy as a dense core collapses however the density progression and accompanying temperature changes result in well documented molecular abundance variations the consequences of this chemical evolution are twofold first we must select molecular tracers carefully for the conditions we are probing and second we can use detailed modeling of the structure chemistry and kinematics of dense cores to determine their evolutionary history and predict their future the molecular ion h d is likely the best kinematic probe of the dense core gas most actively forming stars here we propose to use the unprecedented sensitivity and resolution of to probe the kinematics and chemistry of two evolved star forming cores using h d and n h to determine observationally for the first time the h d and n h abundance structure across dense cores on scales of au through detailed modeling these data will provide much needed constraints to dynamic chemical models of core collapse in clustered environments,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006525078788399696, 0.5883616805076599, 0.041461557149887085, 0.019689148291945457, 0.23456048965454102, 0.058731809258461, 0.024179954081773758, 0.017079629004001617, 0.00941071193665266]"
11,2011.0.00399.S,high resolution spatial kinematic structures of the tw hya disk recent studies have suggested that the magnetized protoplanetary disks can have non keplerian kinematics in order to examine the theoretical prediction we propose to observe the spatial and kinematic structures of the protoplanetary disk of the bright nearby ctts tw hya the proposed observations with extended configuration on optically thick co transition line will delineate the motion of the disk surface which is most seriously influenced by the magnetic fields of the disk we hope to obtain the most sensitive and detailed map available to date to help constrain the disk model and improve our understanding of disk kinematics in the context of planet formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.008029643446207047, 0.037420328706502914, 0.024995878338813782, 0.0121146896854043, 0.48827168345451355, 0.3846317231655121, 0.025213025510311127, 0.012817391194403172, 0.006505658384412527]"
12,2011.0.00419.S,first images of a protoplanetary disk around a very massive protostar one of the most important questions in the field of star formation is to test if very massive stars i e stars that will become o type stars form by accretion from circumstellar disks as it is the case for low mass stars or if other phenomena are at work iras is the most massive protostar found associated with collimated jets with atca and the vla and a rotating molecular structure with the sma that probably will reveal with higher angular observations as a disk we propose to undertake observations of several tracers of dense gas that will test critically the presence of an accretion disk around this source in particular we may provide the first evidence of a keplerian signature inner parts rotating faster than the outer parts in a disk associated with a massive forming star the confirmation of an accretion disk around a massive forming star will not only prove that they form by an analogous mechanism than solar type stars but it will open the possibility of studying the physical conditions of these disks and to address questions such as if they can form not only planets but brown dwarfs and even stars as part of the project we will also search for recombination lines from the powerful thermal jet associated with this source,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.00681655528023839, 0.03759409487247467, 0.022585149854421616, 0.0107960170134902, 0.5685961246490479, 0.3152538537979126, 0.020131636410951614, 0.011286377906799316, 0.006940181832760572]"
13,2011.0.00467.S,dense gas and starburst agn activities in the late stage ir bright merger vv numerical simulations have demonstrated the importance of galaxy collisions and mergers in triggering massive bursts of star formation in the host galaxies recent high resolution simulations that include an improved treatment of the multi phase ism have shown that star formation not only increases as the galaxies first collide but it also persists at a higher rate throughout the merger process peaking at the final coalescence an observational test of gas response requires mapping both the diffuse and dense gas tracers in merging u lirgs at high spatial resolution here we propose cycle observations to obtain pc resolution maps of a gas rich late stage merger vv in hcn hco co co co and co lines the relative proximity deg declination and the rich array of multi wavelength hst spitzer chandra vla complementary data make vv a particularly good target for the cycle investigation by analyzing the new data with times higher angular resolution and times improved sensitivity over the existing data we aim to map the distribution and kinematics of dense molecular gas and the dense gas mass fraction and interpret the dense gas properties and their relation to star formation and agn activities in the context of the merger induced response of the ism in the progenitor disks these new observations will allow us to characterize the gas properties of this galaxy pair that is known to harbor an agn and have extended starbursts across the galaxy pair likely evolving to a ulirg in the future,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0.006640714593231678, 0.6779565215110779, 0.042680345475673676, 0.0192858949303627, 0.1543123573064804, 0.04474141448736191, 0.02652718871831894, 0.018971122801303864, 0.008884469978511333]"
14,2011.0.00471.S, doradus dense gas in the nearest super star cluster v doradus is the nearest super star cluster and an ideal laboratory in which to study the effects of vigorous star formation on molecular gas in galaxies we propose to image the northern molecular cloud in doradus showcasing the unprecedented power of even in early science to understand detailed physical conditions in extragalactic multiphase interstellar media we will image the entire cloud in the most commonly used extragalactic dense gas tracers including hcn hco and cs and isotopologues measure the density mass and gravitational support of dense starless and starforming cores we will image most of the cloud in and co and other tracers of the warm interclump medium of this starburst photodissociation region pdr resolving the pdr structure in combination with our spitzer and herschel data and radio recombination line images obtained simultaneously with the molecular emission we will model the physical conditions and amount of dark molecular hydrogen in a real starburst pdr at reduced metallicity for the first time finally we will image a small region in high excitation lines including co that are particularly sensitive to conditions in the hot dense clumps of pdrs detailed analysis of the molecular environment of the nearest reduced metallicity starburst will inform the interpretation of many observations revealing the true nature of the gas emitting brightly in these lines in more distant galaxies,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0.006255909334868193, 0.2837894558906555, 0.03863827511668205, 0.017883170396089554, 0.42607659101486206, 0.17108704149723053, 0.03566383197903633, 0.011838599108159542, 0.008767073974013329]"
15,2011.0.00474.S,where do massive stars get their mass from massive stars are most likely forming at the centre of parsec scale converging accreting filaments mhd simulations predict that the gas along these filaments can show velocity differences of few km s according to the direction of these filaments with respect to the cloud sdc is a unique massive star forming infrared dark cloud irdc it shows pristine dark filamentary structures converging towards two of the most luminous protostars known in the galaxy low resolution molecular line studies of sdc suggest that this cloud is globally collapsing and that the dark filaments might be accreting in a similar way as in the simulations however only high resolution observations of the velocity field can confirm such speculations we therefore propose to observe sdc with es at mm in the compact configuration in order to get the systemic gas velocity along the set of filaments which are observed in this irdc we expect to measure velocity differences of a couple of km s between the different filaments this would strongly support the dynamical picture of massive star formation,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006014065816998482, 0.5262863636016846, 0.04143039137125015, 0.019612537696957588, 0.2838950455188751, 0.07011492550373077, 0.025450371205806732, 0.018260212615132332, 0.00893605500459671]"
16,2011.0.00525.S,imaging the most luminous galaxy within z we propose high resolution imaging of molecular gas in the most luminous galaxy within z our main targets in the merger ngc d mpc lbol e lsun are the double nuclei with a kpc separation and the km s wide high velocity gas in the central region which we have previously found and attributed to a massive molecular outflow we will assess the dynamical and physical properties of the molecular gas in the merger to uncover the interplay between molecular gas and the high luminosity starburst a key process in the merger induced galaxy evolution our cycle observations of this nearby luminous infrared galaxy lirg will also serve as a pilot study for full observations of more distant lirgs z since the linear resolution and mass sensitivity will be comparable,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0.00619759876281023, 0.4692665934562683, 0.044834595173597336, 0.019672945141792297, 0.3011147379875183, 0.10244595259428024, 0.034056324511766434, 0.014042043127119541, 0.008369219489395618]"
17,2011.0.00619.S,identification of the keplerian rotating disk around the protobinary system of l ne we propose to make an cycle observation of l ne in the c o co cs and the hc o lines at band with the extended configuration l ne is one of the archetypal class i binary protostellar systems with two radio continuum sources at a projected separation of au source a at the south east and source b at the north west our recent sma observations of l ne in the c o line have found a au scale elongated feature along north west to south east approximately centered on source a the circumbinary feature shows a clear velocity gradient along the major axis and our simple model fitting to the observed c o image cube suggests a possibilty that the circumbinary feature is a keplerian rotating disk centered on source a with the central mass of m inclination angle of deg and the position angle of deg the rotation power law index is however not well constrained with the sma data and it is still possible that the rotation is non keplerian the higher resolution higher sensitivity observation will be able to unambigously assess the presence or absence of the keplerian motion in the circumbinary disk once we confirm the presence of the keplerian rotating circimbinary disk we can directly measure both the mass of the protobinary system and the mass ratio which can put stringent constraints on the theories of binary star formation we believe that the present first observation to identify the keplerian circumbinary disk around one of the prototypical binary protostars is a solid kick off to approach binary formation with,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0066072698682546616, 0.04046431556344032, 0.024952733889222145, 0.01214206125587225, 0.5922385454177856, 0.2833160161972046, 0.0208551287651062, 0.013144517317414284, 0.006279381457716227]"
18,2011.0.00645.S,winds of change probing the nuclear activity and outflow of the fir excess galaxy ngc v offers a unique opportunity to probe the nature of fir excess galaxies where the ir emission is powered by dust embedded starbursts and or agn activity the molecular outflow and dusty core of the extreme fir excess synchrotron deficient galaxy ngc presents an opportunity to study this important phenomenon we propose extended array co observations to image the molecular outflow to determine its age and address the nature of the dust enshrouded nuclear activity an extremely young myr starburst or a super eddington accreting black hole we furthermore propose co and micron continuum observations also in extended to study the buried central source on scales of pc we expect intense k emission from the very nuclear region probing the dynamics of the inner disk the enclosed mass and the gas heating energy budget the continuum will constrain the ir surface luminosity and dust mass this proposed study will allow us to uniquely probe the very earliest phases of nuclear activity the onset of black hole accretion or the pre synchrotron beginnings of a starburst,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0061170137487351894, 0.17674177885055542, 0.03482471778988838, 0.015517454594373703, 0.5204903483390808, 0.19918784499168396, 0.028535673394799232, 0.011917399242520332, 0.006667714100331068]"
19,2011.0.00648.S,molecular gas dust and gas metallicity in star forming galaxies at z we propose co and dust thermal continuum emission from star forming galaxies at z the sample contains star forming galaxies extracted originally from our stellar mass limit sample from usual spectral energy distribution analysis stellar masses and star formation rates sfrs of these galaxies are obtained subsequent near infrared spectroscopy enabled us to derive gas metallicity from halpha and nii emission lines and extinction corrected halpha luminosity for the targets with this unique sample we will investigate whether the molecular gas mass and the dust mass as well as co to h conversion factor at the redshift show some trend against gas metallicity rather than stellar mass sfr etc since there is a possibility that co luminosity at a given molecular gas depend on the gas metallicity and dust mass is also expected to be dependent on metallicity studies of star forming galaxies covering a certain range of metallicity stellar mass and sfr is inevitable to push further high z co dust observations in general furthermore since gas inflow outflow also affects gas metallicity evolution we will be able to constrain a process of galaxy evolution from the metallicity and the gas mass fraction the results obtained in this proposal are expected to give us a good compass to navigate future high z observations with thus the program would be suitable to be conducted in cycle phase,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.005984329152852297, 0.1848185658454895, 0.036276161670684814, 0.01694776676595211, 0.49512577056884766, 0.2077583223581314, 0.033711306750774384, 0.011474423110485077, 0.007903335615992546]"
